1411201
1
2 2 0.8 0.02
0 63 0.63 0 22004
0 51 0.63 0 22004
0 68 0.63 22004 55033
0 60 0.63 22004 55033
0 51 0.63 22004 55033
0 44 0.63 22004 55033
0 68 0.63 55079 66058
0 60 0.63 55079 66058
0 51 0.63 55079 66058
0 44 0.63 55079 66058
0 72 0.63 66104 77083
0 63 0.63 66104 77083
0 56 0.63 66104 77083
0 44 0.63 66104 77083
0 72 0.63 77129 88108
0 63 0.63 77129 88108
0 56 0.63 77129 88108
0 44 0.63 77129 88108
0 70 0.63 88154 99133
0 61 0.63 88154 99133
0 56 0.63 88154 99133
0 46 0.63 88154 99133
0 70 0.63 99179 110158
0 63 0.63 99179 110158
0 56 0.63 99179 110158
0 48 0.63 99179 110158
0 67 0.63 110204 132208
0 63 0.63 110204 132208
0 56 0.63 110204 132208
0 49 0.63 110204 132208
0 65 0.63 132254 176308
0 61 0.63 132254 176308
0 56 0.63 132254 176308
0 49 0.63 132254 176308
0 68 0.63 176354 198358
0 65 0.63 176354 198358
0 61 0.63 176354 198358
0 49 0.63 176354 198358
0 67 0.63 198404 231433
0 63 0.63 198404 231433
0 61 0.63 198404 231433
0 51 0.63 198404 231433
0 67 0.63 231479 242458
0 63 0.63 231479 242458
0 61 0.63 231479 242458
0 51 0.63 231479 242458
0 67 0.63 242504 253483
0 63 0.63 242504 253483
0 61 0.63 242504 253483
0 51 0.63 242504 253483
0 63 0.63 253529 264508
0 61 0.63 253529 264508
0 55 0.63 253529 264508
0 51 0.63 253529 264508
0 65 0.63 264554 275533
0 61 0.63 264554 275533
0 56 0.63 264554 275533
0 51 0.63 264554 275533
0 67 0.63 275579 286558
0 61 0.63 275579 286558
0 58 0.63 275579 286558
0 51 0.63 275579 286558
0 68 0.63 286604 352708
0 63 0.63 286604 352708
0 60 0.63 286604 352708
0 44 0.63 286604 352708
0 63 0.63 352754 374758
0 51 0.63 352754 374758
0 68 0.63 374804 407833
0 60 0.63 374804 407833
0 51 0.63 374804 407833
0 44 0.63 374804 407833
0 68 0.63 407879 418858
0 60 0.63 407879 418858
0 51 0.63 407879 418858
0 44 0.63 407879 418858
0 72 0.63 418904 429883
0 63 0.63 418904 429883
0 56 0.63 418904 429883
0 44 0.63 418904 429883
0 72 0.63 429929 440908
0 63 0.63 429929 440908
0 56 0.63 429929 440908
0 44 0.63 429929 440908
0 70 0.63 440954 451933
0 61 0.63 440954 451933
0 56 0.63 440954 451933
0 46 0.63 440954 451933
0 68 0.63 451979 462958
0 63 0.63 451979 462958
0 56 0.63 451979 462958
0 48 0.63 451979 462958
0 67 0.63 463004 485008
0 63 0.63 463004 485008
0 56 0.63 463004 485008
0 49 0.63 463004 485008
0 65 0.63 485054 529108
0 61 0.63 485054 529108
0 56 0.63 485054 529108
0 49 0.63 485054 529108
0 68 0.63 529154 551158
0 65 0.63 529154 551158
0 61 0.63 529154 551158
0 49 0.63 529154 551158
0 67 0.63 551204 584233
0 63 0.63 551204 584233
0 61 0.63 551204 584233
0 51 0.63 551204 584233
0 67 0.63 584279 595258
0 63 0.63 584279 595258
0 61 0.63 584279 595258
0 51 0.63 584279 595258
0 67 0.63 595304 606283
0 63 0.63 595304 606283
0 61 0.63 595304 606283
0 51 0.63 595304 606283
0 63 0.63 606329 617308
0 61 0.63 606329 617308
0 55 0.63 606329 617308
0 51 0.63 606329 617308
0 65 0.63 617354 628333
0 61 0.63 617354 628333
0 56 0.63 617354 628333
0 51 0.63 617354 628333
0 67 0.63 628379 639358
0 61 0.63 628379 639358
0 58 0.63 628379 639358
0 51 0.63 628379 639358
0 68 0.63 639404 705508
0 63 0.63 639404 705508
0 60 0.63 639404 705508
0 44 0.63 639404 705508
0 63 0.63 705554 727558
0 51 0.63 705554 727558
0 70 0.63 727604 760633
0 61 0.63 727604 760633
0 70 0.63 760679 771658
0 61 0.63 760679 771658
0 51 0.63 727604 771658
0 39 0.63 727604 771658
0 68 0.63 771704 782683
0 60 0.63 771704 782683
0 67 0.63 782729 793708
0 58 0.63 782729 793708
0 65 0.63 793754 804733
0 56 0.63 793754 804733
0 67 0.63 804779 815758
0 58 0.63 804779 815758
0 51 0.63 771704 815758
0 68 0.63 815804 837808
0 60 0.63 815804 837808
0 56 0.63 815804 837808
0 44 0.63 815804 837808
0 72 0.63 837854 881908
0 63 0.63 837854 881908
0 56 0.63 837854 881908
0 44 0.63 837854 881908
0 72 0.63 881954 903958
0 63 0.63 881954 903958
0 56 0.63 881954 903958
0 44 0.63 881954 903958
0 70 0.63 904004 937033
0 61 0.63 904004 937033
0 70 0.63 937079 948058
0 61 0.63 937079 948058
0 51 0.63 904004 948058
0 39 0.63 904004 948058
0 68 0.63 948104 959083
0 60 0.63 948104 959083
0 67 0.63 959129 970108
0 58 0.63 959129 970108
0 65 0.63 970154 981133
0 56 0.63 970154 981133
0 67 0.63 981179 992158
0 58 0.63 981179 992158
0 51 0.63 948104 992158
0 68 0.63 992204 1058308
0 60 0.63 992204 1058308
0 56 0.63 992204 1058308
0 44 0.63 992204 1058308
0 63 0.63 1058354 1080358
0 51 0.63 1058354 1080358
0 68 0.63 1080404 1113433
0 60 0.63 1080404 1113433
0 51 0.63 1080404 1113433
0 44 0.63 1080404 1113433
0 68 0.63 1113479 1124458
0 60 0.63 1113479 1124458
0 51 0.63 1113479 1124458
0 44 0.63 1113479 1124458
0 72 0.63 1124504 1135483
0 63 0.63 1124504 1135483
0 56 0.63 1124504 1135483
0 44 0.63 1124504 1135483
0 72 0.63 1135529 1146508
0 63 0.63 1135529 1146508
0 56 0.63 1135529 1146508
0 44 0.63 1135529 1146508
0 70 0.63 1146554 1157533
0 61 0.63 1146554 1157533
0 56 0.63 1146554 1157533
0 46 0.63 1146554 1157533
0 68 0.63 1157579 1168558
0 63 0.63 1157579 1168558
0 56 0.63 1157579 1168558
0 48 0.63 1157579 1168558
0 67 0.63 1168604 1190608
0 63 0.63 1168604 1190608
0 56 0.63 1168604 1190608
0 49 0.63 1168604 1190608
0 65 0.63 1190654 1234708
0 61 0.63 1190654 1234708
0 56 0.63 1190654 1234708
0 49 0.63 1190654 1234708
0 68 0.63 1234754 1256758
0 65 0.63 1234754 1256758
0 61 0.63 1234754 1256758
0 49 0.63 1234754 1256758
0 67 0.63 1256804 1289833
0 63 0.63 1256804 1289833
0 61 0.63 1256804 1289833
0 51 0.63 1256804 1289833
0 67 0.63 1289879 1300858
0 63 0.63 1289879 1300858
0 61 0.63 1289879 1300858
0 51 0.63 1289879 1300858
0 67 0.63 1300904 1311883
0 63 0.63 1300904 1311883
0 61 0.63 1300904 1311883
0 51 0.63 1300904 1311883
0 63 0.63 1311929 1322908
0 61 0.63 1311929 1322908
0 55 0.63 1311929 1322908
0 51 0.63 1311929 1322908
0 65 0.63 1322954 1333933
0 61 0.63 1322954 1333933
0 56 0.63 1322954 1333933
0 51 0.63 1322954 1333933
0 67 0.63 1333979 1344958
0 61 0.63 1333979 1344958
0 58 0.63 1333979 1344958
0 51 0.63 1333979 1344958
0 68 0.63 1344958 1411062
0 63 0.63 1344958 1411062
0 60 0.63 1344958 1411062
0 44 0.63 1344958 1411062
