441001
1
1 2 0.8 0.02
0 45 0.63 0 22004
0 47 0.63 22050 44054
0 48 0.63 44100 66104
0 50 0.63 66150 88154
0 52 0.63 88200 110204
0 53 0.63 110250 132254
0 55 0.63 132300 154304
0 57 0.63 154350 176354
0 59 0.63 176400 198404
0 60 0.63 198450 220454
0 62 0.63 220500 242504
0 64 0.63 242550 264554
0 65 0.63 264600 286604
0 67 0.63 286650 308654
0 69 0.63 308700 330704
0 71 0.63 330750 352754
0 72 0.63 352800 374804
0 74 0.63 374850 396854
0 76 0.63 396900 418904
0 77 0.63 418950 440954
