25225201
3
1 2 0.27 0
4 2 0.27 0
5 0 0.27 0
0 81 0.71 0 22050
0 69 0.71 0 22050
0 79 0.71 27562 30318
0 67 0.71 27562 30318
0 77 0.71 30318 33075
0 65 0.71 30318 33075
0 76 0.71 33075 35831
0 64 0.71 33075 35831
0 74 0.71 35831 38587
0 62 0.71 35831 38587
0 61 0.71 38587 44100
0 73 0.71 38587 44100
0 74 0.71 44100 55125
0 62 0.71 44100 55125
0 69 0.71 88200 110250
1 57 0.71 88200 110250
0 64 0.71 115762 121275
1 52 0.71 115762 121275
0 65 0.71 121275 126787
1 53 0.71 121275 126787
0 61 0.71 126787 132300
1 49 0.71 126787 132300
0 62 0.71 132300 143325
1 50 0.71 132300 143325
1 45 0.71 176400 198450
1 57 0.71 176400 198450
1 55 0.71 203962 206718
1 43 0.71 203962 206718
1 53 0.71 206718 209475
1 41 0.71 206718 209475
1 52 0.71 209475 212231
1 40 0.71 209475 212231
1 50 0.71 212231 214987
1 38 0.71 212231 214987
1 49 0.71 214987 220500
1 37 0.71 214987 220500
1 38 0.71 220500 231525
1 50 0.71 220500 231525
0 58 0.71 308700 396900
0 61 0.71 308700 396900
0 64 0.71 308700 396900
1 49 0.71 308700 396900
1 52 0.71 308700 396900
1 55 0.71 308700 407925
1 52 0.71 407925 418950
0 57 0.71 396900 441000
0 62 0.71 396900 441000
1 50 0.71 396900 441000
1 54 0.71 418950 441000
2 38 0.71 264600 441000
0 61 0.71 518175 529200
1 49 0.71 518175 529200
0 62 0.71 529200 536550
1 50 0.71 529200 536550
0 64 0.71 536550 543900
1 52 0.71 536550 543900
0 61 0.71 543900 551249
1 49 0.71 543900 551249
0 62 0.71 551249 558599
1 50 0.71 551249 558599
0 64 0.71 558599 565949
1 52 0.71 558599 565949
0 61 0.71 565949 573299
1 49 0.71 565949 573299
0 62 0.71 573299 580649
1 50 0.71 573299 580649
0 64 0.71 580649 587999
1 52 0.71 580649 587999
0 61 0.71 587999 595349
1 49 0.71 587999 595349
0 62 0.71 595349 606374
1 50 0.71 595349 606374
0 64 0.71 606374 617399
1 52 0.71 606374 617399
0 65 0.71 617399 624749
1 53 0.71 617399 624749
0 67 0.71 624749 632099
1 55 0.71 624749 632099
0 64 0.71 632099 639449
1 52 0.71 632099 639449
0 65 0.71 639449 646799
1 53 0.71 639449 646799
0 67 0.71 646799 654149
1 55 0.71 646799 654149
0 64 0.71 654149 661499
1 52 0.71 654149 661499
0 65 0.71 661499 668849
1 53 0.71 661499 668849
0 67 0.71 668849 676199
1 55 0.71 668849 676199
0 64 0.71 676199 683549
1 52 0.71 676199 683549
0 65 0.71 683549 694574
1 53 0.71 683549 694574
0 67 0.71 694574 705599
1 55 0.71 694574 705599
0 69 0.71 705599 712949
1 57 0.71 705599 712949
0 70 0.71 712949 720299
1 58 0.71 712949 720299
0 67 0.71 720299 727649
1 55 0.71 720299 727649
0 69 0.71 727649 734999
1 57 0.71 727649 734999
0 70 0.71 734999 742349
1 58 0.71 734999 742349
0 67 0.71 742349 749699
1 55 0.71 742349 749699
0 69 0.71 749699 757049
1 57 0.71 749699 757049
0 70 0.71 757049 764400
1 58 0.71 757049 764400
0 67 0.71 764400 771750
1 55 0.71 764400 771750
0 69 0.71 771750 782775
1 57 0.71 771750 782775
0 73 0.71 870975 882000
1 61 0.71 870975 882000
0 74 0.71 882000 889350
1 62 0.71 882000 889350
0 76 0.71 889350 896700
1 64 0.71 889350 896700
0 73 0.71 896700 904050
1 61 0.71 896700 904050
0 74 0.71 904050 911400
1 62 0.71 904050 911400
0 76 0.71 911400 918750
1 64 0.71 911400 918750
0 73 0.71 918750 926100
1 61 0.71 918750 926100
0 74 0.71 926100 933450
1 62 0.71 926100 933450
0 76 0.71 933450 940800
1 64 0.71 933450 940800
0 73 0.71 940800 948150
1 61 0.71 940800 948150
0 74 0.71 948150 959175
