3969001
2
4 2 0.4 0.02
5 0 0.4 0.02
0 46 0.63 0 22004
0 58 0.5 0 22004
0 46 0.5 22050 29354
0 58 0.5 22050 29354
0 46 0.5 29400 36704
0 58 0.5 29400 36704
0 70 0.5 0 44054
0 46 0.5 36750 44054
0 58 0.5 36750 44054
1 62 0.63 0 44054
0 70 0.5 58800 66104
0 46 0.5 44100 66104
0 58 0.5 44100 66104
1 62 0.63 58800 66104
0 70 0.5 66150 73454
0 46 0.5 66150 73454
0 58 0.5 66150 73454
1 62 0.63 66150 73454
0 70 0.5 73500 80804
0 46 0.5 73500 80804
0 58 0.5 73500 80804
1 62 0.63 73500 80804
0 70 0.5 80849 88154
0 46 0.5 80849 88154
0 58 0.5 80849 88154
1 62 0.63 80849 88154
1 46 0.5 80849 88154
0 70 0.5 88199 104691
1 60 0.63 88199 104691
0 68 0.5 104737 110204
0 44 0.63 88199 110204
0 56 0.5 88199 110204
1 60 0.63 104737 110204
0 44 0.5 110249 117554
0 56 0.5 110249 117554
0 44 0.5 117599 124904
0 56 0.5 117599 124904
0 70 0.5 110249 132254
0 44 0.5 124949 132254
0 56 0.5 124949 132254
1 60 0.63 110249 132254
0 70 0.5 146999 154304
0 44 0.5 132299 154304
0 56 0.5 132299 154304
1 60 0.63 146999 154304
0 70 0.5 154349 161654
0 44 0.5 154349 161654
0 56 0.5 154349 161654
1 60 0.63 154349 161654
0 70 0.5 161699 169004
0 44 0.5 161699 169004
0 56 0.5 161699 169004
1 60 0.63 161699 169004
0 70 0.5 169049 176354
0 44 0.5 169049 176354
0 56 0.5 169049 176354
1 60 0.63 169049 176354
1 44 0.5 169049 176354
0 70 0.5 176399 192891
1 61 0.63 176399 192891
0 68 0.5 192937 198404
0 42 0.63 176399 198404
0 54 0.5 176399 198404
1 61 0.63 192937 198404
0 42 0.5 198449 205754
0 54 0.5 198449 205754
0 42 0.5 205799 213104
0 54 0.5 205799 213104
0 70 0.5 198449 220454
